name;origin;destination;length;oneway;harassmentRisk;geometry;weights;edges;node
Calle 42B;(-75.6060713, 6.2474921);(-75.6066604, 6.247164);74.705;False;0.6461288819387261;LINESTRING (-75.6060713 6.2474921, -75.6064628 6.247259, -75.6066604 6.247164);0.6461288819387261;[['-75.6060713, 6.2474921'],[-75.6066604, 6.247164]];['-75.6060713, 6.2474921']
Carrera 84A;(-75.6063515, 6.2463973);(-75.606531, 6.2459633);52.178;False;0.6461288819387261;LINESTRING (-75.6063515 6.2463973, -75.606531 6.2459633);0.6461288819387261;[['-75.6063515, 6.2463973'],[-75.606531, 6.2459633]];['-75.6063515, 6.2463973']
Calle 37C;(-75.6063515, 6.2463973);(-75.6072612, 6.2467591);108.303;False;0.6461288819387261;LINESTRING (-75.6063515 6.2463973, -75.6072612 6.2467591);0.6461288819387261;[['-75.6063515, 6.2463973'],[-75.6072612, 6.2467591]];['-75.6063515, 6.2463973']
Carrera 84A;(-75.6063515, 6.2463973);(-75.6060713, 6.2474921);125.629;False;0.6461288819387261;LINESTRING (-75.6063515 6.2463973, -75.6062793 6.24665, -75.6060713 6.2474921);0.6461288819387261;[['-75.6063515, 6.2463973'],[-75.6060713, 6.2474921]];['-75.6063515, 6.2463973']
Calle 37B;(-75.606531, 6.2459633);(-75.6074304, 6.2463106);106.652;True;0.6461288819387261;LINESTRING (-75.606531 6.2459633, -75.6074304 6.2463106);0.6461288819387261;[['-75.606531, 6.2459633'],[-75.6074304, 6.2463106]];['-75.606531, 6.2459633']
Carrera 84A;(-75.606531, 6.2459633);(-75.6065551, 6.2458912);8.448;False;0.6461288819387261;LINESTRING (-75.606531 6.2459633, -75.60655509999999 6.2458912);0.6461288819387261;[['-75.606531, 6.2459633'],[-75.6065551, 6.2458912]];['-75.606531, 6.2459633']
Carrera 84A;(-75.606531, 6.2459633);(-75.6063515, 6.2463973);52.178;False;0.6461288819387261;LINESTRING (-75.606531 6.2459633, -75.6063515 6.2463973);0.6461288819387261;[['-75.606531, 6.2459633'],[-75.6063515, 6.2463973]];['-75.606531, 6.2459633']
Calle 37B;(-75.6065551, 6.2458912);(-75.6060111, 6.2456743);64.788;True;0.6461288819387261;LINESTRING (-75.60655509999999 6.2458912, -75.6060111 6.2456743);0.6461288819387261;[['-75.6065551, 6.2458912'],[-75.6060111, 6.2456743]];['-75.6065551, 6.2458912']
Carrera 84A;(-75.6065551, 6.2458912);(-75.6067547, 6.2453958);59.34;False;0.6461288819387261;LINESTRING (-75.60655509999999 6.2458912, -75.6067547 6.2453958);0.6461288819387261;[['-75.6065551, 6.2458912'],[-75.6067547, 6.2453958]];['-75.6065551, 6.2458912']
Carrera 84A;(-75.6065551, 6.2458912);(-75.606531, 6.2459633);8.448;False;0.6461288819387261;LINESTRING (-75.60655509999999 6.2458912, -75.606531 6.2459633);0.6461288819387261;[['-75.6065551, 6.2458912'],[-75.606531, 6.2459633]];['-75.6065551, 6.2458912']
Carrera 84A;(-75.6067547, 6.2453958);(-75.6065551, 6.2458912);59.34;False;0.6461288819387261;LINESTRING (-75.6067547 6.2453958, -75.60655509999999 6.2458912);0.6461288819387261;[['-75.6067547, 6.2453958'],[-75.6065551, 6.2458912]];['-75.6067547, 6.2453958']
Calle 37A;(-75.6067547, 6.2453958);(-75.6076513, 6.245742);106.328;False;0.6461288819387261;LINESTRING (-75.6067547 6.2453958, -75.6071608 6.245559, -75.6076513 6.245742);0.6461288819387261;[['-75.6067547, 6.2453958'],[-75.6076513, 6.245742]];['-75.6067547, 6.2453958']
['Carrera 84A', 'Carrera 84AA', 'Calle 37'];(-75.6067547, 6.2453958);(-75.6074898, 6.245024);122.505;False;0.6461288819387261;LINESTRING (-75.6067547 6.2453958, -75.6068708 6.2450958, -75.60688690000001 6.2450611, -75.60690409999999 6.2450415, -75.6069285 6.2450291, -75.60695130000001 6.2450225, -75.6069767 6.2450238, -75.60735630000001 6.2451718, -75.6073925 6.2451785, -75.60741640000001 6.2451739, -75.6074435 6.2451598, -75.6074898 6.245024);0.6461288819387261;[['-75.6067547, 6.2453958'],[-75.6074898, 6.245024]];['-75.6067547, 6.2453958']
Calle 37A;(-75.6087448, 6.2461437);(-75.6076513, 6.245742);128.859;False;0.6461288819387261;LINESTRING (-75.6087448 6.2461437, -75.6076513 6.245742);0.6461288819387261;[['-75.6087448, 6.2461437'],[-75.6076513, 6.245742]];['-75.6087448, 6.2461437']
Calle 42B;(-75.6087448, 6.2461437);(-75.609295, 6.2458075);71.388;False;0.6461288819387261;LINESTRING (-75.6087448 6.2461437, -75.609295 6.2458075);0.6461288819387261;[['-75.6087448, 6.2461437'],[-75.609295, 6.2458075]];['-75.6087448, 6.2461437']
Calle 42B;(-75.6087448, 6.2461437);(-75.6082609, 6.2465561);70.454;False;0.6461288819387261;LINESTRING (-75.6087448 6.2461437, -75.6082609 6.2465561);0.6461288819387261;[['-75.6087448, 6.2461437'],[-75.6082609, 6.2465561]];['-75.6087448, 6.2461437']
Calle 42B;(-75.6082067, 6.2466093);(-75.6082609, 6.2465561);8.419;False;0.6461288819387261;LINESTRING (-75.6082067 6.2466093, -75.6082609 6.2465561);0.6461288819387261;[['-75.6082067, 6.2466093'],[-75.6082609, 6.2465561]];['-75.6082067, 6.2466093']
Calle 42B;(-75.6082067, 6.2466093);(-75.6077847, 6.2469352);59.778;False;0.7866352916456412;LINESTRING (-75.6082067 6.2466093, -75.60790129999999 6.2468891, -75.6077847 6.2469352);0.7866352916456412;[['-75.6082067, 6.2466093'],[-75.6077847, 6.2469352]];['-75.6082067, 6.2466093']
Calle 42B;(-75.6071137, 6.2470496);(-75.6066604, 6.247164);51.695;False;0.7866352916456412;LINESTRING (-75.6071137 6.2470496, -75.6066604 6.247164);0.7866352916456413;[['-75.6071137, 6.2470496'],[-75.6066604, 6.247164]];['-75.6071137, 6.2470496']
956;(-75.6071137, 6.2470496);(-75.6066604, 6.247164);71.316;False;0.7866352916456412;LINESTRING (-75.6071137 6.2470496, -75.6067687 6.2469137, -75.6066604 6.247164);0.7866352916456412;[['-75.6071137, 6.2470496'],[-75.6066604, 6.247164]];['-75.6071137, 6.2470496']
Calle 42B;(-75.6071137, 6.2470496);(-75.6077847, 6.2469352);75.252;False;0.9271417013525564;LINESTRING (-75.6071137 6.2470496, -75.6077847 6.2469352);0.9271417013525564;[['-75.6071137, 6.2470496'],[-75.6077847, 6.2469352]];['-75.6071137, 6.2470496']
Calle 42B;(-75.6066604, 6.247164);(-75.6071137, 6.2470496);51.695;False;0.7866352916456412;LINESTRING (-75.6066604 6.247164, -75.6071137 6.2470496);0.7866352916456413;[['-75.6066604, 6.247164'],[-75.6071137, 6.2470496]];['-75.6066604, 6.247164']
959;(-75.6066604, 6.247164);(-75.6071137, 6.2470496);71.316;False;0.7866352916456412;LINESTRING (-75.6066604 6.247164, -75.6067687 6.2469137, -75.6071137 6.2470496);0.7866352916456412;[['-75.6066604, 6.247164'],[-75.6071137, 6.2470496]];['-75.6066604, 6.247164']
Calle 42B;(-75.6066604, 6.247164);(-75.6060713, 6.2474921);74.705;False;0.6461288819387261;LINESTRING (-75.6066604 6.247164, -75.6064628 6.247259, -75.6060713 6.2474921);0.6461288819387261;[['-75.6066604, 6.247164'],[-75.6060713, 6.2474921]];['-75.6066604, 6.247164']
Carrera 82A;(-75.6045942, 6.2451316);(-75.6045605, 6.2452008);8.549;False;0.6461288819387261;LINESTRING (-75.60459419999999 6.2451316, -75.60456050000001 6.2452008);0.6461288819387261;[['-75.6045942, 6.2451316'],[-75.6045605, 6.2452008]];['-75.6045942, 6.2451316']
Carrera 82A;(-75.6045942, 6.2451316);(-75.6048097, 6.2446791);55.669;False;0.6461288819387261;LINESTRING (-75.60459419999999 6.2451316, -75.6048097 6.2446791);0.6461288819387261;[['-75.6045942, 6.2451316'],[-75.6048097, 6.2446791]];['-75.6045942, 6.2451316']
Carrera 82A;(-75.6045605, 6.2452008);(-75.6043398, 6.2456536);55.948;False;0.6461288819387261;LINESTRING (-75.60456050000001 6.2452008, -75.60433980000001 6.2456536);0.6461288819387261;[['-75.6045605, 6.2452008'],[-75.6043398, 6.2456536]];['-75.6045605, 6.2452008']
Carrera 82A;(-75.6045605, 6.2452008);(-75.6045942, 6.2451316);8.549;False;0.6461288819387261;LINESTRING (-75.60456050000001 6.2452008, -75.60459419999999 6.2451316);0.6461288819387261;[['-75.6045605, 6.2452008'],[-75.6045942, 6.2451316]];['-75.6045605, 6.2452008']
Calle 37B;(-75.6045605, 6.2452008);(-75.605447, 6.2455493);105.374;True;0.6461288819387261;LINESTRING (-75.60456050000001 6.2452008, -75.605447 6.2455493);0.6461288819387261;[['-75.6045605, 6.2452008'],[-75.605447, 6.2455493]];['-75.6045605, 6.2452008']
Calle 37B;(-75.6045605, 6.2452008);(-75.6032777, 6.2449545);144.59;False;0.6461288819387261;LINESTRING (-75.60456050000001 6.2452008, -75.60408579999999 6.2450801, -75.6036089 6.2449972, -75.60327770000001 6.2449545);0.6461288819387261;[['-75.6045605, 6.2452008'],[-75.6032777, 6.2449545]];['-75.6045605, 6.2452008']
Carrera 81A;(-75.6032777, 6.2449545);(-75.6032326, 6.2455304);64.231;False;0.6461288819387261;LINESTRING (-75.60327770000001 6.2449545, -75.6032326 6.2455304);0.6461288819387261;[['-75.6032777, 6.2449545'],[-75.6032326, 6.2455304]];['-75.6032777, 6.2449545']
Carrera 81A;(-75.6032777, 6.2449545);(-75.6033143, 6.244273);75.887;False;0.6461288819387261;LINESTRING (-75.60327770000001 6.2449545, -75.60331429999999 6.244273);0.6461288819387261;[['-75.6032777, 6.2449545'],[-75.6033143, 6.244273]];['-75.6032777, 6.2449545']
Calle 37B;(-75.6032777, 6.2449545);(-75.6045605, 6.2452008);144.59;False;0.6461288819387261;LINESTRING (-75.60327770000001 6.2449545, -75.6036089 6.2449972, -75.60408579999999 6.2450801, -75.60456050000001 6.2452008);0.6461288819387261;[['-75.6032777, 6.2449545'],[-75.6045605, 6.2452008]];['-75.6032777, 6.2449545']
Carrera 82;(-75.6036059, 6.2485088);(-75.6035592, 6.249184);75.262;False;0.9275086492430402;LINESTRING (-75.60360590000001 6.2485088, -75.60359579999999 6.2487086, -75.60355920000001 6.249184);0.9275086492430401;[['-75.6036059, 6.2485088'],[-75.6035592, 6.249184]];['-75.6036059, 6.2485088']
Carrera 82;(-75.6036059, 6.2485088);(-75.6038787, 6.2482594);41.057;False;0.9275086492430402;LINESTRING (-75.60360590000001 6.2485088, -75.60376479999999 6.24838, -75.6038787 6.2482594);0.9275086492430402;[['-75.6036059, 6.2485088'],[-75.6038787, 6.2482594]];['-75.6036059, 6.2485088']
Calle 42C;(-75.6036059, 6.2485088);(-75.6030003, 6.2488706);78.384;False;0.7868187655908832;LINESTRING (-75.60360590000001 6.2485088, -75.60331309999999 6.2486488, -75.60300030000001 6.2488706);0.7868187655908832;[['-75.6036059, 6.2485088'],[-75.6030003, 6.2488706]];['-75.6036059, 6.2485088']
Calle 42C;(-75.6036059, 6.2485088);(-75.6051595, 6.2486372);173.54299999999998;True;0.9275086492430402;LINESTRING (-75.60360590000001 6.2485088, -75.6037286 6.2484913, -75.6037903 6.248498, -75.6038245 6.248505, -75.604198 6.248591, -75.6042999 6.2486126, -75.6044072 6.2486286, -75.6045306 6.2486406, -75.6046072 6.2486422, -75.6049852 6.2486346, -75.6051595 6.2486372);0.9275086492430402;[['-75.6036059, 6.2485088'],[-75.6051595, 6.2486372]];['-75.6036059, 6.2485088']
Carrera 82;(-75.6035592, 6.249184);(-75.6034932, 6.2499076);80.791;False;0.9275086492430402;LINESTRING (-75.60355920000001 6.249184, -75.6034932 6.2499076);0.9275086492430402;[['-75.6035592, 6.249184'],[-75.6034932, 6.2499076]];['-75.6035592, 6.249184']
Calle 42D;(-75.6035592, 6.249184);(-75.6042223, 6.2492546);73.715;False;0.9275086492430402;LINESTRING (-75.60355920000001 6.249184, -75.6042223 6.2492546);0.9275086492430402;[['-75.6035592, 6.249184'],[-75.6042223, 6.2492546]];['-75.6035592, 6.249184']
Carrera 82;(-75.6035592, 6.249184);(-75.6036059, 6.2485088);75.262;False;0.9275086492430402;LINESTRING (-75.60355920000001 6.249184, -75.60359579999999 6.2487086, -75.60360590000001 6.2485088);0.9275086492430401;[['-75.6035592, 6.249184'],[-75.6036059, 6.2485088]];['-75.6035592, 6.249184']
Carrera 82;(-75.6034932, 6.2499076);(-75.6034409, 6.250612);78.539;False;0.9275086492430402;LINESTRING (-75.6034932 6.2499076, -75.6034409 6.250612);0.9275086492430402;[['-75.6034932, 6.2499076'],[-75.6034409, 6.250612]];['-75.6034932, 6.2499076']
Carrera 82;(-75.6034932, 6.2499076);(-75.6035592, 6.249184);80.791;False;0.9275086492430402;LINESTRING (-75.6034932 6.2499076, -75.60355920000001 6.249184);0.9275086492430402;[['-75.6034932, 6.2499076'],[-75.6035592, 6.249184]];['-75.6034932, 6.2499076']
Calle 43B;(-75.6034932, 6.2499076);(-75.6024417, 6.2498193);116.641;False;0.9275086492430402;LINESTRING (-75.6034932 6.2499076, -75.6024417 6.2498193);0.9275086492430402;[['-75.6034932, 6.2499076'],[-75.6024417, 6.2498193]];['-75.6034932, 6.2499076']
Calle 43B;(-75.6034932, 6.2499076);(-75.6040593, 6.2499818);63.115;False;0.9275086492430402;LINESTRING (-75.6034932 6.2499076, -75.6040593 6.2499818);0.9275086492430402;[['-75.6034932, 6.2499076'],[-75.6040593, 6.2499818]];['-75.6034932, 6.2499076']
Carrera 81A;(-75.6030003, 6.2488706);(-75.6030486, 6.2482092);73.738;False;0.6461288819387261;LINESTRING (-75.60300030000001 6.2488706, -75.60304859999999 6.2482092);0.6461288819387261;[['-75.6030003, 6.2488706'],[-75.6030486, 6.2482092]];['-75.6030003, 6.2488706']
Calle 42C;(-75.6030003, 6.2488706);(-75.6024489, 6.2492925);76.913;False;0.7868187655908832;LINESTRING (-75.60300030000001 6.2488706, -75.60249279999999 6.2492589, -75.6024489 6.2492925);0.7868187655908832;[['-75.6030003, 6.2488706'],[-75.6024489, 6.2492925]];['-75.6030003, 6.2488706']
Calle 42C;(-75.6030003, 6.2488706);(-75.6036059, 6.2485088);78.384;False;0.7868187655908832;LINESTRING (-75.60300030000001 6.2488706, -75.60331309999999 6.2486488, -75.60360590000001 6.2485088);0.7868187655908832;[['-75.6030003, 6.2488706'],[-75.6036059, 6.2485088]];['-75.6030003, 6.2488706']
Carrera 83A;(-75.6047078, 6.2482576);(-75.6048052, 6.2477479);57.69;False;0.7868187655908832;LINESTRING (-75.6047078 6.2482576, -75.6048052 6.2477479);0.7868187655908832;[['-75.6047078, 6.2482576'],[-75.6048052, 6.2477479]];['-75.6047078, 6.2482576']
Calle 42B;(-75.6047078, 6.2482576);(-75.6038787, 6.2482594);91.681;False;0.9275086492430402;LINESTRING (-75.6047078 6.2482576, -75.6045314 6.2482674, -75.6042667 6.2482629, -75.6038787 6.2482594);0.9275086492430402;[['-75.6047078, 6.2482576'],[-75.6038787, 6.2482594]];['-75.6047078, 6.2482576']
Calle 42B;(-75.6047078, 6.2482576);(-75.6053853, 6.2479178);84.59100000000001;False;0.9275086492430402;LINESTRING (-75.6047078 6.2482576, -75.60486349999999 6.2482241, -75.60538529999999 6.2479178);0.9275086492430401;[['-75.6047078, 6.2482576'],[-75.6053853, 6.2479178]];['-75.6047078, 6.2482576']
Carrera 81A;(-75.6030486, 6.2482092);(-75.6030003, 6.2488706);73.738;False;0.6461288819387261;LINESTRING (-75.60304859999999 6.2482092, -75.60300030000001 6.2488706);0.6461288819387261;[['-75.6030486, 6.2482092'],[-75.6030003, 6.2488706]];['-75.6030486, 6.2482092']
Carrera 81A;(-75.6030486, 6.2482092);(-75.6030776, 6.2476866);58.199;False;0.6461288819387261;LINESTRING (-75.60304859999999 6.2482092, -75.60307760000001 6.2476866);0.6461288819387261;[['-75.6030486, 6.2482092'],[-75.6030776, 6.2476866]];['-75.6030486, 6.2482092']
Calle 42B;(-75.6030486, 6.2482092);(-75.6038787, 6.2482594);91.924;False;0.7868187655908832;LINESTRING (-75.60304859999999 6.2482092, -75.6038787 6.2482594);0.7868187655908832;[['-75.6030486, 6.2482092'],[-75.6038787, 6.2482594]];['-75.6030486, 6.2482092']
Calle 34C;(-75.6035933, 6.2425662);(-75.6042587, 6.2427449);76.187;False;0.7385414863895424;LINESTRING (-75.6035933 6.2425662, -75.6042587 6.2427449);0.7385414863895424;[['-75.6035933, 6.2425662'],[-75.6042587, 6.2427449]];['-75.6035933, 6.2425662']
Carrera 81A;(-75.6035933, 6.2425662);(-75.6034653, 6.2433378);86.957;False;0.6923351841641343;LINESTRING (-75.6035933 6.2425662, -75.6034653 6.2433378);0.6923351841641343;[['-75.6035933, 6.2425662'],[-75.6034653, 6.2433378]];['-75.6035933, 6.2425662']
['Carrera 81A', 'Calle 34C'];(-75.6035933, 6.2425662);(-75.6032691, 6.2420068);89.13499999999999;False;0.7385414863895424;LINESTRING (-75.6035933 6.2425662, -75.6033087 6.2424898, -75.603256 6.2424397, -75.60323889999999 6.2423657, -75.60326910000001 6.2420068);0.7385414863895424;[['-75.6035933, 6.2425662'],[-75.6032691, 6.2420068]];['-75.6035933, 6.2425662']
Calle 37A;(-75.6033143, 6.244273);(-75.6039488, 6.2444342);72.389;False;0.6461288819387261;LINESTRING (-75.60331429999999 6.244273, -75.6039488 6.2444342);0.6461288819387261;[['-75.6033143, 6.244273'],[-75.6039488, 6.2444342]];['-75.6033143, 6.244273']
Calle 37A;(-75.6033143, 6.244273);(-75.6027753, 6.2441506);61.113;False;0.6461288819387261;LINESTRING (-75.60331429999999 6.244273, -75.6027753 6.2441506);0.6461288819387261;[['-75.6033143, 6.244273'],[-75.6027753, 6.2441506]];['-75.6033143, 6.244273']
Carrera 81A;(-75.6033143, 6.244273);(-75.6032777, 6.2449545);75.887;False;0.6461288819387261;LINESTRING (-75.60331429999999 6.244273, -75.60327770000001 6.2449545);0.6461288819387261;[['-75.6033143, 6.244273'],[-75.6032777, 6.2449545]];['-75.6033143, 6.244273']
Carrera 81A;(-75.6033143, 6.244273);(-75.6034415, 6.2434451);93.126;False;0.6461288819387261;LINESTRING (-75.60331429999999 6.244273, -75.6034415 6.2434451);0.6461288819387261;[['-75.6033143, 6.244273'],[-75.6034415, 6.2434451]];['-75.6033143, 6.244273']
Calle 37C;(-75.6032326, 6.2455304);(-75.6043398, 6.2456536);123.149;False;0.6461288819387261;LINESTRING (-75.6032326 6.2455304, -75.60433980000001 6.2456536);0.6461288819387261;[['-75.6032326, 6.2455304'],[-75.6043398, 6.2456536]];['-75.6032326, 6.2455304']
